,"[0,1]","[0,4]","[1,2]","[1,3]","[1,4]","[2,3]","[3,4]"
0,1,8,8,9,7,0,0
1,0,9,8,6,2,0,3
2,9,1,3,9,0,1,4
3,1,6,5,8,6,7,3
4,1,4,1,6,7,9,8
5,2,3,0,8,2,0,2
6,8,2,7,9,1,4,7
7,1,4,5,6,8,6,1
8,8,6,4,7,7,2,7
9,1,4,7,6,0,1,8
10,3,6,2,8,0,2,4
11,9,5,6,6,4,2,0
12,8,4,2,8,5,3,5
13,5,1,8,7,1,3,3
14,0,4,8,8,6,8,5
15,0,8,9,9,1,9,7
16,7,9,8,8,4,8,7
17,3,5,9,8,2,2,5
18,4,7,4,6,3,4,5
19,2,5,7,8,1,5,8
20,7,0,5,7,6,7,4
21,3,9,9,7,7,5,7
22,1,6,6,9,7,6,0
23,9,3,9,8,2,6,3
24,0,9,9,9,7,0,1
25,2,9,1,6,9,9,1
26,3,3,6,6,8,4,1
27,5,4,2,6,7,5,9
28,2,8,8,8,4,7,2
29,1,9,2,8,6,7,7
30,8,0,8,8,8,4,0
31,7,0,8,7,8,3,8
32,8,3,2,8,8,1,9
33,8,6,3,7,8,4,2
34,6,9,2,8,8,1,9
35,3,1,0,8,0,0,4
36,1,8,7,6,7,9,3
37,2,1,8,8,3,9,2
38,7,1,5,9,3,1,9
39,3,3,8,8,3,3,9
40,1,1,6,8,5,3,6
41,2,5,1,7,8,1,8
42,6,6,8,7,3,3,5
43,3,0,7,8,8,3,6
44,0,0,1,8,4,0,3
45,6,9,6,9,7,5,6
46,6,7,3,9,7,1,0
47,8,5,1,8,9,6,5
48,7,1,4,8,1,9,1
49,0,6,6,9,4,8,7
50,1,8,0,7,9,8,2
51,8,2,6,9,2,8,2
52,1,8,3,6,2,7,3
53,2,5,8,8,4,7,9
54,5,3,2,7,9,5,6
55,1,2,8,7,4,8,6
56,3,2,7,8,9,6,8
57,4,9,4,7,2,1,0
58,7,0,2,7,3,0,4
59,1,8,5,7,0,5,8
60,1,0,9,6,2,8,5
61,3,6,9,9,3,4,0
62,7,6,1,6,6,9,9
63,7,7,5,6,0,1,4
64,1,7,5,9,0,4,7
65,2,4,0,8,4,2,7
66,1,5,9,9,8,1,3
67,0,4,7,9,2,7,4
68,2,3,6,6,0,1,8
69,0,6,5,6,7,6,7
70,0,3,0,9,9,5,1
71,6,4,5,7,9,9,4
72,9,7,8,7,1,0,6
73,5,5,1,7,3,3,9
74,0,5,3,8,1,7,7
75,3,2,8,7,3,1,3
76,4,0,5,8,8,8,3
77,4,8,6,6,1,4,2
78,8,8,1,9,4,6,5
79,0,1,3,9,0,8,2
80,4,3,0,8,2,1,6
81,2,7,8,6,9,1,8
82,8,2,7,6,2,1,6
83,0,7,6,9,4,1,7
84,9,9,3,8,3,2,4
85,1,5,3,6,2,4,4
86,6,1,0,6,2,0,0
87,7,3,2,8,7,6,3
88,7,1,3,8,6,2,0
89,9,6,7,9,4,2,6
90,3,3,3,9,6,2,8
91,2,0,5,6,2,6,9
92,5,3,7,6,7,0,0
93,3,4,3,7,7,1,2
94,7,9,4,9,7,8,5
95,3,7,1,9,6,3,2
96,4,5,6,8,7,3,7
97,1,4,1,6,9,7,6
98,3,4,2,7,5,7,9
99,2,3,8,8,9,1,9
100,1,5,8,9,3,0,6
101,7,4,7,7,1,6,2
102,1,5,1,9,6,2,0
103,3,3,8,6,4,1,0
104,9,4,4,6,9,4,3
105,6,4,4,8,8,0,4
106,4,9,9,9,1,9,6
107,2,5,5,7,8,1,1
108,4,2,1,7,9,1,3
109,2,9,7,8,2,9,7
110,0,7,0,8,6,8,9
111,4,5,6,8,0,4,1
112,5,0,6,7,8,3,6
113,8,9,0,9,2,5,8
114,0,1,8,8,2,0,3
115,0,3,1,6,0,3,5
116,2,4,7,8,2,8,8
117,4,5,0,6,5,9,7
118,3,5,7,6,9,0,8
119,5,3,9,7,7,4,3
120,7,9,4,8,1,4,9
121,9,9,3,9,7,7,5
122,4,8,9,7,6,6,4
123,8,4,1,7,2,2,5
124,7,8,4,9,2,5,0
125,0,0,1,7,6,7,1
126,9,1,7,7,9,6,7
127,6,9,8,9,8,5,9
128,6,3,9,6,9,8,5
129,6,4,6,6,8,1,2
130,6,5,0,6,8,9,1
131,0,7,8,8,3,2,6
132,7,0,4,7,6,2,6
